latitude,longitude,name
40.605498,22.9529355,Billiard Center
40.607476,22.96223,ΚΕΠ 0236 Ε' Δημοτικής Κοινότητας Δήμου Θεσσαλονίκης
40.6431513,22.9443022,Ιερός Ναός Αγίας Αικατερίνης
40.6505245,22.9495671,Γρεβενά
40.6516522,22.9424513,Alpha Bank
40.6540317,22.9442476,Δημαρχείο Νεάπολης
40.6534976,22.9389398,Tandur
40.6565796,22.9350875,Mad Gym Γυμναστήριο Θεσσαλονίκη
40.6681516,22.9129098,U BAR PROJECT
40.6607798,22.9116929,"Maroco Coffee, Cocktails & More"
40.6643091,22.9030224,ΔΟΥ Αμπελοκήπων
40.6768775,22.9157775,ΚΕΠ ΔΗΜΟΥ ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ (ΕΥΟΣΜΟΥ(ΠΑΡΑΡΤΗΜΑ))
40.6847233,22.9306196,ORCHESTRA NIKOPOLIS
40.6905678,22.916598,Autokalogeras - Ωραιόκαστρο Θεσσαλονίκη
40.5926107,22.9834769,ΔΑΚ Πυλαίας
40.5923829,22.9539455,DHL Express
40.600402,22.957611,OtakuStore.gr
40.6121502,22.9764428,Αστυνομικό Τμήμα Τούμπας
40.6265954,22.9521661,ΧΑΝΘ
40.62655,22.962166,Κέντρο Διάδοσης Ερευνητικών Αποτελεσμάτων ΚΕ.Δ.Ε.Α
40.6198628,22.9641456,Παπάφειο Κέντρο Παιδικής Μέριμνας
40.6181672,22.9526332,Makedonia Palace Hotel
40.6253834,22.9497796,Βασιλικό Θέατρο
40.6278952,22.9492576,Μπουγάτσα Γιάννης
40.6268244,22.9573401,Αλεξάνδρειο Μέλαθρο
40.59465,22.9670816,"Λεβεντοπουλος, Α., & Ο.Ε."
40.5959937,22.9524239,Αλευρόμυλος Αλλατίνη
40.6287845,22.9507462,Μασσαλία
40.6291515,22.9499734,Κέντρο Ιστορίας Θεσσαλονίκης
40.630901,22.950761,KAMARA - Thessaloniki Apartments
40.6267799,22.9618744,"ΕΛΚΕ ΑΠΘ, Ειδικός Λογαριασμός Κονδυλίων Ερευνας του Αριστοτέλειου Πανεπιστημίου Θεσσαλονίκης"
40.629913,22.9640641,Euromedica Κυανούς Σταυρός
40.6290733,22.9647752,Α' Φοιτητική Εστία ΑΠΘ
40.629556,22.9600672,Νοσοκομείο ΑΧΕΠΑ
40.6324001,22.9603867,ΤΕΛΛΟΓΛΕΙΟ ΙΔΡΥΜΑ ΤΕΧΝΩΝ Α.Π.Θ.
40.634211,22.951121,ΕΚΔΟΣΕΙΣ ΤΖΙΟΛΑ
40.6335183,22.9485763,Vodafone
40.634193,22.9476554,Coffee Island
40.6353742,22.9468545,Άλλος τρόπος
40.6360269,22.9482214,προτομή Μίλτου Κουντουρά
40.6373745,22.9479875,Κιτς και σ’ έφαγα...
40.638434,22.945966,RAHATI SHISHABAR
40.6376635,22.9432412,ΕΠΙΠΛΑ MAKIS & NIKOS
40.6358798,22.9422581,Αγορά Καπάνι
40.6338495,22.940803,TOMS Thessaloniki Store
40.6333788,22.9459582,Πλατεία Αγίας Σοφίας
40.6316358,22.944544,Sephora
40.6322856,22.9447432,Blé Thessaloniki
40.6323105,22.9435391,"attica, The Department Store"
40.6332315,22.9443887,Candybar
40.6339584,22.9445419,Κατάστημα COSMOTE
40.6344176,22.9453029,Ι.Μαυρομουστάκης - Μουσικά όργανα
40.633919,22.9467447,Μασούτης
40.6332756,22.9477929,"Read Βιβλιοπωλείο, Εκδόσεις ΓΕΡΜΑΝΟΣ"
40.6328652,22.9491551,Fitness fun
40.6320311,22.9489372,Γαλυφιανάκης
40.6311101,22.9498944,Ακυβέρνητες Πολιτείες
40.6305665,22.9476077,Καπνοτόπι - Οινοτόπι Εδεσματόριο
40.6316107,22.9474378,Spoon
40.6305594,22.9463038,Bershka
40.6298333,22.9471769,Nike Store
40.629393,22.9468855,FIORENTINO LUXURY FLORAL SERVICES
40.626884,22.9529218,Νικόλαος Κοσομούλης
40.627708,22.952973,POSEIDON CAR RENTALS
40.6278466,22.9515231,Kakiousis Printshops
40.6274233,22.9517611,Χουανγκ
40.6287349,22.956234,Βεργίνα Τηλεόραση
40.6293463,22.9562427,Πύλη Εμπορίου ΔΕΘ
40.6297996,22.9574512,Βιβλιοθήκη ΑΠΘ για Μεταπτυχιακές Και Διδακτορικές Εργασίες
40.6278927,22.9565881,ΚΕΚ ΣΕΒΕ-ΣΒΒΕ-ΔΕΘ
40.6281783,22.9613685,Παιδικό Κέντρο ΑΠΘ
40.6240576,22.9653653,PromoAction
40.6226885,22.9634852,Molto Bene
40.6201421,22.9623044,Αναστασιαδης ανταλλακτικα
40.6192989,22.9602829,Πλάτανος
40.6198803,22.9576382,Μασούτης
40.617144,22.9588599,Γερμανός
40.6167433,22.9626272,"""Bios Coop"" Social Consumer Cooperative"
40.6173328,22.964774,Μασούτης
